Año;Periodo;Miranda de Ebro﻿ ;España
2017;Trimestre 1;-14,29;1,54
2017;Trimestre 2;1,64;0,65
2017;Trimestre 3;10,74;0,49
2017;Trimestre 4;11,05;1,8
2018;Trimestre 1;16,67;1,65
2018;Trimestre 2;-0,2;2,7
2018;Trimestre 3;0,78;3,7
2018;Trimestre 4;1,76;4,17
2019;Trimestre 1;4,37;5,01
2019;Trimestre 2;10,93;4,22
2019;Trimestre 3;4,11;3,92
2019;Trimestre 4;4,7;3,21
2020;Trimestre 1;2,28;-10,17
2020;Trimestre 2;-11,68;-24,78
2020;Trimestre 3;-4,69;-20,34
2020;Trimestre 4;-5,77;-19,37
2021;Trimestre 1;-10,41;-9,3
2021;Trimestre 2;8,06;11,73
2021;Trimestre 3;9,57;8,47
2016;Trimestre 4;;-1,33
