Año;Periodo;Parámetro;Capítulos de gasto
2020;Año;Actuaciones de carácter general;4.823.075,19
2020;Año;Bienestar comunitario;6.686.440
2020;Año;Comercio, Turismo y P.Y.M.E.S.;396.048
2020;Año;Cultura;4.081.635,43
2020;Año;Deporte;2.366.410
2020;Año;Deuda Pública;2.916.000
2020;Año;Educación;1.196.695
2020;Año;Fomento del empleo;371.763
2020;Año;Medio ambiente;1.784.883
2020;Año;Otras actuaciones de carácter económico;45.084
2020;Año;Seguridad y movilidad ciudadana;5.755.282,25
2020;Año;Servicios Sociales y Promoción Social;5.326.982,60
2020;Año;Transporte público;446.500
2020;Año;Vivienda y urbanismo;4.480.565,11
