"Anio","Mes","Número de personas en paro Ecija"
2013,"Mayo",5782
2013,"Junio",5614
2013,"Julio",5772
2013,"Agosto",5829
2013,"Septiembre",5811
2013,"Octubre",5655
2013,"Noviembre",5456
2013,"Diciembre",5378
2014,"Enero",5719
2014,"Febrero",5807
2014,"Marzo",5832
2014,"Abril",5682
2014,"Mayo",5430
2014,"Junio",5408
2014,"Julio",5544
2014,"Agosto",5782
2014,"Septiembre",5672
2014,"Octubre",5476
2014,"Noviembre",5314
2014,"Diciembre",5270
2015,"Enero",5560
2015,"Febrero",5512
2015,"Marzo",5491
2015,"Abril",5406
2015,"Mayo",5431
2015,"Junio",5454
2015,"Julio",5468
2015,"Agosto",5652
2015,"Septiembre",5468
2015,"Octubre",5430
2015,"Noviembre",5054
2015,"Diciembre",5029
2016,"Enero",5252
2016,"Febrero",5367
2016,"Marzo",5226
2016,"Abril",5094
2016,"Mayo",4885
2016,"Junio",4996
2016,"Julio",5026
2016,"Agosto",5184
2016,"Septiembre",5116
2016,"Octubre",4911
2016,"Noviembre",4876
2016,"Diciembre",4601
2017,"Enero",4773
2017,"Febrero",4786
2017,"Marzo",4673
2017,"Abril",4531
2017,"Mayo",4372
2017,"Junio",4448
2017,"Julio",4510
2017,"Agosto",4755
2017,"Septiembre",4630
2017,"Octubre",4488
2017,"Noviembre",4271
2017,"Diciembre",4175
2018,"Enero",4286
2018,"Febrero",4330
2018,"Marzo",4247
2018,"Abril",4170
2018,"Mayo",4099
2018,"Junio",4157
2018,"Julio",4244
2018,"Agosto",4344
2018,"Septiembre",4371
2018,"Octubre",4189
2018,"Noviembre",3978
2018,"Diciembre",3924
2019,"Enero",4005
2019,"Febrero",4158
2019,"Marzo",4066
2019,"Abril",3924
2019,"Mayo",3784
2019,"Junio",3805
2019,"Julio",3883
2019,"Agosto",3962
2019,"Septiembre",3942
2019,"Octubre",3904
2019,"Noviembre",3836
2019,"Diciembre",3855
2020,"Enero",4062
2020,"Febrero",4093
2020,"Marzo",4876
2020,"Abril",4905
2020,"Mayo",4720
2020,"Junio",4749
2020,"Julio",4750
2020,"Agosto",4828
2020,"Septiembre",4566
2020,"Octubre",4410
2020,"Noviembre",4342
2020,"Diciembre",4411
2021,"Enero",4517
2021,"Febrero",4612
2021,"Marzo",4590
2021,"Abril",4580
