FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2
07/05/2013;0;18/07/2013;0;28/09/2013;2;05/06/2014;0;15/08/2014;0;24/10/2014;0;01/01/2015;0;03/05/2015;0.4;02/09/2015;12.2;01/01/2016;1.4;02/05/2016;0;01/09/2016;0;01/01/2017;0;04/05/2017;0;02/09/2017;0;01/01/2018;0.4;03/05/2018;1;02/09/2018;0;01/01/2019;0;23/04/2019;1.2;12/08/2019;0;01/01/2020;0;04/05/2020;0.4;03/09/2020;0;01/01/2021;0;03/05/2021;2.4;02/09/2021;0.6;01/01/2022;0;02/05/2022;0;31/08/2022;;01/01/2023;0
08/05/2013;0;19/07/2013;0;29/09/2013;0;06/06/2014;0;16/08/2014;0;25/10/2014;0;02/01/2015;0;04/05/2015;0;03/09/2015;0.2;02/01/2016;;03/05/2016;0;02/09/2016;0;02/01/2017;0;05/05/2017;0.6;03/09/2017;0;02/01/2018;0;04/05/2018;0;03/09/2018;1.2;02/01/2019;0;24/04/2019;9.8;13/08/2019;0;02/01/2020;0;05/05/2020;0;04/09/2020;0;02/01/2021;0;04/05/2021;0;03/09/2021;1;02/01/2022;0;03/05/2022;0.2;01/09/2022;;02/01/2023;0.6
09/05/2013;0;20/07/2013;0.2;30/09/2013;0;07/06/2014;0;17/08/2014;0;26/10/2014;;03/01/2015;0;05/05/2015;0;04/09/2015;0;03/01/2016;;04/05/2016;0;03/09/2016;0;03/01/2017;0;06/05/2017;0;04/09/2017;0;03/01/2018;0;05/05/2018;0;04/09/2018;0.8;03/01/2019;0;25/04/2019;7.4;14/08/2019;0;03/01/2020;0;06/05/2020;0;05/09/2020;0;03/01/2021;0;05/05/2021;0;04/09/2021;0;03/01/2022;0;04/05/2022;0;02/09/2022;;03/01/2023;0
10/05/2013;0;21/07/2013;0.2;01/10/2013;;08/06/2014;0;18/08/2014;0;27/10/2014;0;04/01/2015;0;06/05/2015;0;05/09/2015;0;04/01/2016;11.2;05/05/2016;0.4;04/09/2016;0;04/01/2017;0;07/05/2017;0;05/09/2017;0;04/01/2018;0;06/05/2018;0;05/09/2018;6;04/01/2019;0;26/04/2019;0;15/08/2019;0.2;04/01/2020;0;07/05/2020;0;06/09/2020;0;04/01/2021;0;06/05/2021;0;05/09/2021;0;04/01/2022;3.6;05/05/2022;0;03/09/2022;;04/01/2023;0
11/05/2013;0;22/07/2013;9.2;02/10/2013;1.4;09/06/2014;0;19/08/2014;0;28/10/2014;0;05/01/2015;0;07/05/2015;0;06/09/2015;0;05/01/2016;;06/05/2016;0.4;05/09/2016;0;05/01/2017;0;08/05/2017;0;06/09/2017;0;05/01/2018;6.4;07/05/2018;0;06/09/2018;0.2;05/01/2019;0;27/04/2019;0;16/08/2019;0;05/01/2020;0;08/05/2020;2.4;07/09/2020;0;05/01/2021;0;07/05/2021;0;06/09/2021;0;05/01/2022;0;06/05/2022;0;04/09/2022;;05/01/2023;0
12/05/2013;0;23/07/2013;5.8;03/10/2013;0;11/06/2014;0;20/08/2014;0;29/10/2014;0;06/01/2015;0;08/05/2015;0;07/09/2015;0;06/01/2016;2.2;07/05/2016;1.8;06/09/2016;0;06/01/2017;0;09/05/2017;0.8;07/09/2017;0;06/01/2018;12.4;08/05/2018;0;07/09/2018;0;06/01/2019;0;28/04/2019;0;17/08/2019;0;06/01/2020;0;09/05/2020;16;08/09/2020;0;06/01/2021;0;08/05/2021;0;07/09/2021;0;06/01/2022;0;07/05/2022;0;05/09/2022;;06/01/2023;0
13/05/2013;0;24/07/2013;0;04/10/2013;;12/06/2014;0;21/08/2014;0;30/10/2014;0;07/01/2015;0;09/05/2015;0;08/09/2015;0;07/01/2016;0;08/05/2016;9.2;07/09/2016;0;07/01/2017;0;10/05/2017;0;08/09/2017;0;07/01/2018;3.8;09/05/2018;0;08/09/2018;1;07/01/2019;0;29/04/2019;0;18/08/2019;0;07/01/2020;0;10/05/2020;14.4;09/09/2020;0;07/01/2021;0;09/05/2021;0;08/09/2021;0;07/01/2022;0.8;08/05/2022;0;06/09/2022;;07/01/2023;6.6
14/05/2013;0;25/07/2013;0.2;05/10/2013;0;13/06/2014;0;22/08/2014;0.8;31/10/2014;0;08/01/2015;0;10/05/2015;0;09/09/2015;0;08/01/2016;;09/05/2016;2.6;08/09/2016;0;08/01/2017;0;11/05/2017;0;09/09/2017;2.4;08/01/2018;0;10/05/2018;0.4;09/09/2018;1;08/01/2019;0;30/04/2019;0;19/08/2019;0;08/01/2020;0;11/05/2020;10;10/09/2020;0;08/01/2021;0;10/05/2021;0;09/09/2021;7.6;08/01/2022;0;09/05/2022;0;07/09/2022;;08/01/2023;4.6
15/05/2013;0;26/07/2013;0.2;06/10/2013;2.4;14/06/2014;0;23/08/2014;0;01/11/2014;0;09/01/2015;0;11/05/2015;0;10/09/2015;0;09/01/2016;;10/05/2016;2.6;09/09/2016;0;09/01/2017;0;12/05/2017;0;10/09/2017;1.2;09/01/2018;1.2;11/05/2018;0;10/09/2018;0;09/01/2019;0.2;01/05/2019;0;20/08/2019;0;09/01/2020;2.6;12/05/2020;25.4;11/09/2020;0;09/01/2021;0;11/05/2021;0.2;10/09/2021;1.6;09/01/2022;6.4;10/05/2022;0;08/09/2022;;09/01/2023;3.4
16/05/2013;0;27/07/2013;0;07/10/2013;0;15/06/2014;0;24/08/2014;0;02/11/2014;8.2;10/01/2015;0;12/05/2015;0;11/09/2015;0;10/01/2016;10.6;11/05/2016;0;10/09/2016;0;10/01/2017;10.8;13/05/2017;0;11/09/2017;0;10/01/2018;0;12/05/2018;3;11/09/2018;0;10/01/2019;0.2;02/05/2019;0;21/08/2019;0;10/01/2020;0.4;13/05/2020;5;12/09/2020;0;10/01/2021;0;12/05/2021;6;11/09/2021;0;10/01/2022;0.6;11/05/2022;0.4;09/09/2022;;10/01/2023;0
17/05/2013;7.2;28/07/2013;2.4;08/10/2013;0;16/06/2014;0;25/08/2014;0;03/11/2014;7;11/01/2015;0;13/05/2015;0;12/09/2015;0;11/01/2016;4;12/05/2016;3.6;11/09/2016;0;11/01/2017;1.2;14/05/2017;0;12/09/2017;0;11/01/2018;0.2;13/05/2018;0.2;12/09/2018;0;11/01/2019;0;03/05/2019;3;22/08/2019;0;11/01/2020;0;14/05/2020;0;13/09/2020;0;11/01/2021;0;13/05/2021;1.8;12/09/2021;0;11/01/2022;0;12/05/2022;3.4;10/09/2022;;11/01/2023;5.4
18/05/2013;1;29/07/2013;0;09/10/2013;0;17/06/2014;0;26/08/2014;0;04/11/2014;;12/01/2015;0;14/05/2015;0;13/09/2015;0;12/01/2016;0.2;13/05/2016;1.2;12/09/2016;0;12/01/2017;0.2;15/05/2017;0;13/09/2017;0;12/01/2018;0;14/05/2018;0.8;13/09/2018;0;12/01/2019;0.6;04/05/2019;0;23/08/2019;0;12/01/2020;0;15/05/2020;0;14/09/2020;0;12/01/2021;0;14/05/2021;0;13/09/2021;0.2;12/01/2022;0;13/05/2022;0.2;11/09/2022;;12/01/2023;0
19/05/2013;;30/07/2013;0;10/10/2013;0.2;18/06/2014;0;27/08/2014;0;05/11/2014;;13/01/2015;0;15/05/2015;0;14/09/2015;0;13/01/2016;0;14/05/2016;1.2;13/09/2016;3;13/01/2017;1.6;16/05/2017;0;14/09/2017;0;13/01/2018;2.2;15/05/2018;0;14/09/2018;0;13/01/2019;0;05/05/2019;0;24/08/2019;0;13/01/2020;0;16/05/2020;0.4;15/09/2020;2.6;13/01/2021;0;15/05/2021;0.2;14/09/2021;0.8;13/01/2022;0;14/05/2022;1;12/09/2022;;13/01/2023;0
