FECHA;Precipitación: l/m2
07/05/2013;0
08/05/2013;0
09/05/2013;0
10/05/2013;0
11/05/2013;0
12/05/2013;0
13/05/2013;0
14/05/2013;0
15/05/2013;0
16/05/2013;0
17/05/2013;7.2
18/05/2013;1
19/05/2013;
20/05/2013;0
21/05/2013;0.2
22/05/2013;0
23/05/2013;0
24/05/2013;0.4
25/05/2013;0
26/05/2013;2.4
27/05/2013;15
28/05/2013;5.8
29/05/2013;0.4
30/05/2013;0.4
31/05/2013;0
01/06/2013;0
02/06/2013;0.4
03/06/2013;
04/06/2013;0
05/06/2013;0
06/06/2013;0.2
07/06/2013;13.8
08/06/2013;6
09/06/2013;14
10/06/2013;0
11/06/2013;0
12/06/2013;0
13/06/2013;0
14/06/2013;0
15/06/2013;0
16/06/2013;0
17/06/2013;1
18/06/2013;10.2
19/06/2013;12.6
20/06/2013;3.8
21/06/2013;2.8
22/06/2013;0
23/06/2013;0.4
24/06/2013;0
25/06/2013;0
26/06/2013;0
27/06/2013;0
28/06/2013;0
29/06/2013;0
30/06/2013;0
01/07/2013;0
02/07/2013;0
03/07/2013;0
04/07/2013;0
05/07/2013;0
06/07/2013;0
07/07/2013;0
08/07/2013;0
09/07/2013;0
10/07/2013;0
11/07/2013;0
12/07/2013;25.8
13/07/2013;0
14/07/2013;0
15/07/2013;0
16/07/2013;27.6
17/07/2013;
18/07/2013;0
19/07/2013;0
20/07/2013;0.2
21/07/2013;0.2
22/07/2013;9.2
23/07/2013;5.8
24/07/2013;0
25/07/2013;0.2
26/07/2013;0.2
27/07/2013;0
28/07/2013;2.4
29/07/2013;0
30/07/2013;0
31/07/2013;0
01/08/2013;0
02/08/2013;0
03/08/2013;0
04/08/2013;0
05/08/2013;0
06/08/2013;6
07/08/2013;3.4
08/08/2013;0
09/08/2013;0
10/08/2013;0
11/08/2013;0
12/08/2013;0.4
13/08/2013;0
14/08/2013;
15/08/2013;
16/08/2013;0
17/08/2013;0
18/08/2013;0
19/08/2013;0
20/08/2013;0
21/08/2013;0
22/08/2013;0
23/08/2013;0
24/08/2013;0.4
25/08/2013;0
26/08/2013;0
27/08/2013;0
28/08/2013;0
29/08/2013;0
30/08/2013;0
31/08/2013;0
01/09/2013;0
02/09/2013;0
03/09/2013;0
04/09/2013;0
05/09/2013;4.2
06/09/2013;0.6
07/09/2013;5.8
08/09/2013;0.4
09/09/2013;0
10/09/2013;0
11/09/2013;0
12/09/2013;0
13/09/2013;0
14/09/2013;0
15/09/2013;0
16/09/2013;0
17/09/2013;0.2
18/09/2013;0
19/09/2013;0
20/09/2013;0
21/09/2013;0
22/09/2013;0
23/09/2013;0
24/09/2013;0
25/09/2013;
26/09/2013;
27/09/2013;0
28/09/2013;2
29/09/2013;0
30/09/2013;0
01/10/2013;
02/10/2013;1.4
03/10/2013;0
04/10/2013;
05/10/2013;0
06/10/2013;2.4
07/10/2013;0
08/10/2013;0
09/10/2013;0
10/10/2013;0.2
11/10/2013;0
12/10/2013;0
13/10/2013;
14/10/2013;0
15/10/2013;0
16/10/2013;0
17/10/2013;0
18/10/2013;0
19/10/2013;0
20/10/2013;0
21/10/2013;0
22/10/2013;2.8
23/10/2013;0.2
24/10/2013;0
25/10/2013;2
26/10/2013;0
27/10/2013;0
28/10/2013;0.6
29/10/2013;5
30/10/2013;0
31/10/2013;0
01/11/2013;
02/11/2013;
03/11/2013;
04/11/2013;
05/11/2013;
06/11/2013;
07/11/2013;
08/11/2013;
09/11/2013;
10/11/2013;
11/11/2013;
12/11/2013;
13/11/2013;
14/11/2013;
15/11/2013;
16/11/2013;
17/11/2013;
18/11/2013;
19/11/2013;
20/11/2013;
22/11/2013;
23/11/2013;
24/11/2013;
25/11/2013;
26/11/2013;
27/11/2013;
28/11/2013;
29/11/2013;
30/11/2013;
01/12/2013;
02/12/2013;
03/12/2013;
04/12/2013;
05/12/2013;
06/12/2013;
07/12/2013;
08/12/2013;
09/12/2013;
05/06/2014;0
06/06/2014;0
07/06/2014;0
08/06/2014;0
09/06/2014;0
11/06/2014;0
12/06/2014;0
13/06/2014;0
14/06/2014;0
15/06/2014;0
16/06/2014;0
17/06/2014;0
18/06/2014;0
19/06/2014;0
20/06/2014;11.2
21/06/2014;5.6
22/06/2014;2
23/06/2014;30.4
24/06/2014;0
25/06/2014;0
26/06/2014;2.2
27/06/2014;0
28/06/2014;0
29/06/2014;0
30/06/2014;0
01/07/2014;0.6
02/07/2014;0
03/07/2014;0
04/07/2014;6.2
05/07/2014;0
06/07/2014;16.6
07/07/2014;0
08/07/2014;0
09/07/2014;0
10/07/2014;0
11/07/2014;0
12/07/2014;0
13/07/2014;0
14/07/2014;0
15/07/2014;0
16/07/2014;
17/07/2014;0
18/07/2014;0
19/07/2014;1
20/07/2014;1.8
21/07/2014;
22/07/2014;0
23/07/2014;0
24/07/2014;1.6
25/07/2014;0.2
26/07/2014;
27/07/2014;0
28/07/2014;
29/07/2014;0.4
30/07/2014;0
31/07/2014;0
01/08/2014;0
02/08/2014;3.2
03/08/2014;1.4
04/08/2014;0.2
05/08/2014;0
06/08/2014;0
07/08/2014;0
08/08/2014;0
09/08/2014;0
10/08/2014;0
11/08/2014;0
12/08/2014;0
13/08/2014;2.2
14/08/2014;0
15/08/2014;0
16/08/2014;0
17/08/2014;0
18/08/2014;0
19/08/2014;0
20/08/2014;0
21/08/2014;0
22/08/2014;0.8
23/08/2014;0
24/08/2014;0
25/08/2014;0
26/08/2014;0
27/08/2014;0
28/08/2014;0
29/08/2014;0
30/08/2014;0
31/08/2014;0
01/09/2014;0
02/09/2014;0
03/09/2014;0
04/09/2014;0
05/09/2014;
06/09/2014;0
08/09/2014;0
09/09/2014;0
10/09/2014;0
11/09/2014;0
12/09/2014;0
13/09/2014;0
14/09/2014;0
15/09/2014;0
16/09/2014;0
17/09/2014;0
18/09/2014;0
19/09/2014;0
20/09/2014;0
21/09/2014;0
22/09/2014;0
23/09/2014;0
24/09/2014;0
25/09/2014;0
26/09/2014;0
27/09/2014;0
28/09/2014;0
29/09/2014;0
30/09/2014;0
01/10/2014;0
02/10/2014;0
03/10/2014;
04/10/2014;
05/10/2014;
06/10/2014;
07/10/2014;0
08/10/2014;0
09/10/2014;0
10/10/2014;0
11/10/2014;
12/10/2014;8
13/10/2014;2.8
14/10/2014;
