FECHA;T. Máxima;T.Mínima
07/05/2013;21.3;14.3
08/05/2013;18.8;13.0
09/05/2013;13.2;9.3
10/05/2013;15.0;7.9
11/05/2013;15.7;8.1
12/05/2013;14.9;7.1
13/05/2013;20.7;3.5
14/05/2013;22.9;5.5
15/05/2013;12.0;5.8
16/05/2013;12.0;1.7
17/05/2013;12.8;5.9
18/05/2013;13.9;6.2
19/05/2013;;
20/05/2013;14.1;4.5
21/05/2013;11.3;2.5
22/05/2013;14.8;9.1
23/05/2013;12.8;9.0
24/05/2013;14.6;6.4
25/05/2013;14.3;6.5
26/05/2013;19.4;1.2
27/05/2013;18.5;8.6
28/05/2013;13.9;7.1
29/05/2013;15.2;3.5
30/05/2013;14.1;6.6
31/05/2013;12.7;9.2
01/06/2013;14.3;9.7
02/06/2013;12.5;8.3
03/06/2013;17.9;6.7
04/06/2013;22.6;3.9
05/06/2013;27.4;5.6
06/06/2013;24.0;11.8
07/06/2013;20.1;11.3
08/06/2013;15.7;10.2
09/06/2013;16.7;11.5
10/06/2013;21.6;9.8
11/06/2013;25.2;14.8
12/06/2013;29.8;13.6
13/06/2013;18.9;13.8
14/06/2013;27.7;13.3
15/06/2013;23.3;9.9
16/06/2013;30.9;12.0
17/06/2013;21.9;10.9
18/06/2013;14.7;9.8
19/06/2013;13.1;9.1
20/06/2013;20.1;10.1
21/06/2013;16.0;11.9
22/06/2013;25.4;9.6
23/06/2013;17.2;11.2
24/06/2013;19.3;9.6
25/06/2013;20.8;7.2
26/06/2013;21.6;9.2
27/06/2013;21.0;10.4
28/06/2013;22.3;8.2
29/06/2013;24.5;8.5
30/06/2013;25.8;10.4
01/07/2013;25.0;14.7
02/07/2013;28.8;15.8
03/07/2013;26.5;13.6
04/07/2013;27.5;16.5
05/07/2013;30.4;13.7
06/07/2013;31.0;15.3
07/07/2013;30.2;11.5
08/07/2013;31.6;13.5
09/07/2013;32.2;16.4
10/07/2013;31.3;17.1
11/07/2013;31.1;17.7
12/07/2013;33.2;16.3
13/07/2013;29.4;16.0
14/07/2013;27.5;16.0
15/07/2013;28.8;13.5
16/07/2013;28.4;14.9
17/07/2013;27.0;13.8
18/07/2013;27.8;13.3
19/07/2013;30.4;13.5
20/07/2013;31.4;15.8
21/07/2013;31.6;16.3
22/07/2013;32.3;15.6
23/07/2013;30.0;17.3
24/07/2013;31.7;17.6
25/07/2013;34.2;19.1
26/07/2013;33.8;18.9
27/07/2013;25.4;17.6
28/07/2013;26.9;12.9
29/07/2013;27.4;13.6
30/07/2013;31.6;12.3
31/07/2013;35.1;14.7
01/08/2013;36.2;19.8
02/08/2013;33.8;18.4
03/08/2013;26.8;17.1
04/08/2013;30.6;16.7
05/08/2013;24.3;16.3
06/08/2013;25.9;16.9
07/08/2013;22.5;14.8
08/08/2013;22.0;12.1
09/08/2013;26.5;10.0
10/08/2013;26.1;11.0
11/08/2013;31.7;13.0
12/08/2013;26.0;17.4
13/08/2013;24.5;16.2
14/08/2013;;
15/08/2013;;
16/08/2013;26.4;14.2
17/08/2013;28.7;14.3
18/08/2013;32.2;12.7
19/08/2013;22.3;17.0
20/08/2013;27.1;11.2
21/08/2013;32.7;11.0
22/08/2013;32.1;14.5
23/08/2013;25.3;16.7
24/08/2013;21.7;14.7
25/08/2013;24.3;13.7
26/08/2013;21.2;13.8
27/08/2013;21.8;12.9
28/08/2013;22.3;13.6
29/08/2013;23.7;13.4
30/08/2013;24.5;11.3
31/08/2013;23.1;9.2
01/09/2013;24.1;15.3
02/09/2013;26.6;13.5
03/09/2013;30.3;8.9
04/09/2013;31.0;12.2
05/09/2013;28.0;15.4
06/09/2013;24.2;14.3
07/09/2013;18.5;13.3
08/09/2013;17.6;11.3
09/09/2013;23.7;7.8
10/09/2013;21.9;11.2
11/09/2013;19.1;11.1
12/09/2013;21.8;9.2
13/09/2013;23.0;12.2
14/09/2013;27.3;10.6
15/09/2013;20.5;12.2
16/09/2013;25.2;7.4
17/09/2013;18.7;12.2
18/09/2013;24.1;8.9
19/09/2013;21.6;14.4
20/09/2013;23.9;15.3
21/09/2013;24.3;13.0
22/09/2013;28.9;7.2
23/09/2013;27.5;9.6
24/09/2013;28.5;12.8
25/09/2013;;
26/09/2013;;
27/09/2013;28.7;14.8
28/09/2013;21.7;15.7
29/09/2013;23.3;16.2
30/09/2013;25.3;16.3
01/10/2013;21.3;17.2
02/10/2013;25.3;17.7
03/10/2013;27.2;18.5
04/10/2013;24.2;13.2
05/10/2013;21.0;8.6
06/10/2013;17.8;12.2
07/10/2013;19.7;8.3
08/10/2013;18.0;6.1
09/10/2013;18.6;10.6
10/10/2013;18.1;5.0
11/10/2013;13.7;7.0
12/10/2013;17.7;1.4
13/10/2013;18.6;3.4
14/10/2013;20.2;13.2
15/10/2013;19.3;15.4
16/10/2013;24.5;16.4
17/10/2013;24.0;13.7
18/10/2013;25.7;11.5
19/10/2013;23.9;16.3
20/10/2013;22.4;12.8
21/10/2013;21.0;11.8
22/10/2013;20.1;14.2
23/10/2013;21.6;12.5
24/10/2013;21.3;9.3
25/10/2013;20.2;14.3
26/10/2013;19.9;12.5
27/10/2013;18.8;11.6
28/10/2013;16.1;10.1
29/10/2013;11.4;6.2
30/10/2013;13.8;4.9
31/10/2013;16.8;0.7
01/11/2013;;
02/11/2013;;
03/11/2013;;
04/11/2013;;
05/11/2013;;
06/11/2013;;
07/11/2013;;
08/11/2013;;
09/11/2013;;
10/11/2013;;
11/11/2013;;
12/11/2013;;
13/11/2013;;
14/11/2013;;
15/11/2013;;
16/11/2013;;
17/11/2013;;
18/11/2013;;
19/11/2013;;
20/11/2013;;
22/11/2013;;
23/11/2013;;
24/11/2013;;
25/11/2013;;
26/11/2013;;
27/11/2013;;
28/11/2013;;
29/11/2013;;
30/11/2013;;
01/12/2013;;
02/12/2013;;
03/12/2013;;
04/12/2013;;
05/12/2013;;
06/12/2013;;
07/12/2013;;
08/12/2013;;
09/12/2013;;
05/06/2014;29.1;6.1
06/06/2014;31.3;9.2
07/06/2014;29.3;12.0
08/06/2014;33.0;9.5
09/06/2014;31.2;10.3
11/06/2014;30.9;13.8
12/06/2014;33.5;14.3
13/06/2014;31.1;13.0
14/06/2014;25.3;12.4
15/06/2014;23.9;12.0
16/06/2014;22.0;12.7
17/06/2014;25.1;9.0
18/06/2014;27.1;7.1
19/06/2014;29.6;6.7
20/06/2014;34.2;13.3
21/06/2014;31.7;14.8
22/06/2014;30.5;16.6
23/06/2014;30.3;13.9
24/06/2014;22.8;15.0
25/06/2014;26.0;13.6
26/06/2014;24.8;14.9
27/06/2014;30.0;11.6
28/06/2014;26.9;12.8
29/06/2014;23.5;10.2
30/06/2014;30.3;8.5
01/07/2014;28.9;14.5
02/07/2014;20.7;14.4
03/07/2014;28.1;15.5
04/07/2014;29.0;15.2
05/07/2014;32.8;14.0
06/07/2014;25.8;13.1
07/07/2014;21.9;12.5
08/07/2014;23.0;12.7
09/07/2014;21.6;13.0
10/07/2014;21.9;11.5
11/07/2014;23.6;12.1
12/07/2014;23.7;13.0
13/07/2014;29.4;8.8
14/07/2014;27.2;14.1
15/07/2014;33.6;10.8
16/07/2014;;
17/07/2014;39.1;16.7
18/07/2014;36.1;13.6
19/07/2014;29.3;14.3
20/07/2014;24.4;14.0
21/07/2014;;
22/07/2014;28.6;10.0
23/07/2014;31.8;13.9
24/07/2014;29.0;13.1
25/07/2014;28.6;17.5
26/07/2014;;
27/07/2014;30.0;12.4
28/07/2014;;
29/07/2014;23.7;13.9
30/07/2014;25.1;9.7
31/07/2014;32.9;9.8
01/08/2014;27.7;16.0
02/08/2014;29.2;16.1
03/08/2014;29.7;14.3
04/08/2014;26.1;16.2
05/08/2014;29.3;11.8
06/08/2014;29.9;11.2
07/08/2014;32.7;15.5
08/08/2014;34.5;16.2
09/08/2014;32.6;17.6
10/08/2014;33.3;15.2
11/08/2014;25.4;16.6
12/08/2014;29.9;15.0
13/08/2014;23.0;13.4
14/08/2014;25.1;10.8
15/08/2014;25.4;12.6
16/08/2014;23.1;11.3
17/08/2014;32.2;4.9
18/08/2014;28.6;10.4
19/08/2014;26.1;15.6
20/08/2014;24.0;12.0
21/08/2014;26.3;8.9
22/08/2014;17.7;11.5
23/08/2014;25.6;6.6
24/08/2014;34.0;7.7
25/08/2014;35.7;8.1
26/08/2014;32.7;12.8
27/08/2014;34.9;19.0
28/08/2014;34.8;16.5
29/08/2014;25.6;17.0
30/08/2014;24.5;13.7
31/08/2014;28.5;16.4
01/09/2014;31.3;12.8
02/09/2014;32.8;10.6
03/09/2014;35.4;11.3
04/09/2014;30.4;13.5
05/09/2014;31.1;11.2
06/09/2014;33.3;12.5
08/09/2014;32.0;14.9
09/09/2014;33.8;14.7
10/09/2014;34.4;13.5
11/09/2014;29.6;15.7
12/09/2014;30.4;16.1
13/09/2014;31.7;10.8
14/09/2014;30.6;13.6
15/09/2014;27.1;12.6
16/09/2014;29.7;12.9
17/09/2014;29.0;15.1
18/09/2014;29.1;12.5
19/09/2014;26.5;12.7
20/09/2014;27.9;11.9
21/09/2014;28.7;12.1
22/09/2014;23.1;15.7
23/09/2014;19.6;10.6
24/09/2014;21.0;7.2
25/09/2014;21.8;7.1
26/09/2014;25.1;7.1
27/09/2014;26.9;7.5
28/09/2014;23.1;14.0
29/09/2014;25.3;15.8
30/09/2014;22.3;13.8
01/10/2014;24.8;9.9
02/10/2014;26.0;9.1
03/10/2014;;
04/10/2014;;
05/10/2014;;
06/10/2014;24.4;5.8
07/10/2014;23.6;16.3
08/10/2014;24.4;16.2
09/10/2014;22.5;13.0
10/10/2014;23.3;11.4
11/10/2014;21.2;12.0
12/10/2014;20.5;12.8
13/10/2014;19.7;11.3
14/10/2014;22.0;8.1
15/10/2014;18.2;12.0
16/10/2014;24.8;15.1
17/10/2014;27.6;16.1
18/10/2014;28.1;12.1
19/10/2014;28.7;11.1
20/10/2014;28.1;8.6
21/10/2014;28.0;8.9
22/10/2014;22.4;7.1
23/10/2014;24.5;1.9
24/10/2014;28.0;5.2
25/10/2014;29.3;6.8
26/10/2014;;
27/10/2014;24.6;5.7
28/10/2014;22.9;8.2
29/10/2014;24.4;7.6
30/10/2014;21.9;8.6
31/10/2014;16.3;8.2
01/11/2014;21.8;12.3
02/11/2014;17.1;9.3
03/11/2014;15.9;8.8
04/11/2014;;
05/11/2014;;
06/11/2014;13.4;3.7
07/11/2014;16.1;6.0
08/11/2014;;
09/11/2014;;
10/11/2014;12.8;0.1
11/11/2014;13.4;7.7
12/11/2014;15.3;8.9
13/11/2014;16.5;9.2
14/11/2014;15.3;9.9
15/11/2014;12.8;8.1
16/11/2014;14.4;7.5
17/11/2014;15.0;4.9
18/11/2014;12.7;1.5
19/11/2014;14.6;6.3
20/11/2014;;
21/11/2014;14.0;4.5
22/11/2014;17.5;8.8
23/11/2014;18.0;7.3
24/11/2014;15.2;7.0
25/11/2014;16.0;9.7
26/11/2014;;
27/11/2014;15.7;5.4
28/11/2014;15.5;9.7
