ano;provincia;ayuntamiento;viguilante_municipales;policia_local_ejecutiva_agte;policia_local_ejecutiva_oficial;policia_local_tecnica_sub;policia_local_tecnica_ins;policia_local_superior_my;policia_local_superior_int;policia_local_superior_sp;total;hombres;mujeres;medio;prov_abreviada
2021;ÁVILA;Arenas de San Pedro;;15;;;;;;;15;13;2;Rural;AV
2021;ÁVILA;Arévalo;;11;3;;;;;;14;11;3;Rural;AV
2021;ÁVILA;ÁVILA;;83;11;2;2;1;;;99;94;5;Urbano;AV
2021;ÁVILA;Candeleda;;10;;;;;;;10;9;1;Rural;AV
2021;ÁVILA;Cebreros;;6;2;;;;;;8;7;1;Rural;AV
2021;ÁVILA;El Barco de Ávila;2;;;;;;;;2;2;0;Rural;AV
2021;ÁVILA;El Hoyo de Pinares;;3;;;;;;;3;3;0;Rural;AV
2021;ÁVILA;El Tiemblo;;4;;;;;;;4;2;2;Rural;AV
2021;ÁVILA;La Adrada;;2;1;;;;;;3;3;0;Rural;AV
2021;ÁVILA;Las Navas del Marqués;;7;1;;;;;;8;8;0;Rural;AV
2021;ÁVILA;Piedralaves;;3;1;;;;;;4;3;1;Rural;AV
2021;ÁVILA;Sotillo de la Adrada;;5;1;;;;;;6;6;0;Rural;AV
2021;BURGOS;Aranda de Duero;;19;5;;1;;;;25;21;4;Urbano;BU
2021;BURGOS;Briviesca;;5;2;;;;;;7;7;0;Rural;BU
2021;BURGOS;BURGOS;;240;25;9;3;1;1;;279;262;17;Urbano;BU
2021;BURGOS;LEÓN;;221;18;8;3;1;1;;252;228;24;Urbano;BU
2021;BURGOS;Lerma;;2;;;;;;;2;2;0;Rural;BU
2021;BURGOS;Medina de Pomar;;4;2;;;;;;6;5;1;Rural;BU
2021;BURGOS;Melgar de Fernamental;1;;;;;;;;1;0;1;Rural;BU
2021;BURGOS;Miranda de Ebro;;39;8;;1;1;;;49;43;6;Urbano;BU
2021;BURGOS;Salas de los Infantes;1;;;;;;;;1;0;1;Rural;BU
2021;BURGOS;Valle de Mena;;6;;;;;;;6;4;2;Rural;BU
2021;LEÓN;Astorga;;17;3;1;;;;;21;19;2;Rural;LE
2021;LEÓN;Bembibre;;9;1;;;;;;10;9;1;Rural;LE
2021;LEÓN;Cacabelos;;4;;;;;;;4;4;0;Rural;LE
2021;LEÓN;Cistierna;;1;;;;;;;1;1;0;Rural;LE
2021;LEÓN;Fabero;;2;;;;;;;2;2;0;Rural;LE
