Año;Periodo;Número de personas en paro
2013;Mayo;5.782
2013;Junio;5.614
2013;Julio;5.772
2013;Agosto;5.829
2013;Septiembre;5.811
2013;Octubre;5.655
2013;Noviembre;5.456
2013;Diciembre;5.378
2014;Enero;5.719
2014;Febrero;5.807
2014;Marzo;5.832
2014;Abril;5.682
2014;Mayo;5.430
2014;Junio;5.408
2014;Julio;5.544
2014;Agosto;5.782
2014;Septiembre;5.672
2014;Octubre;5.476
2014;Noviembre;5.314
2014;Diciembre;5.270
2015;Enero;5.560
2015;Febrero;5.512
2015;Marzo;5.491
2015;Abril;5.406
2015;Mayo;5.431
2015;Junio;5.454
2015;Julio;5.468
2015;Agosto;5.652
2015;Septiembre;5.468
2015;Octubre;5.430
2015;Noviembre;5.054
2015;Diciembre;5.029
2016;Enero;5.252
2016;Febrero;5.367
2016;Marzo;5.226
2016;Abril;5.094
2016;Mayo;4.885
2016;Junio;4.996
2016;Julio;5.026
2016;Agosto;5.184
2016;Septiembre;5.116
2016;Octubre;4.911
2016;Noviembre;4.876
2016;Diciembre;4.601
2017;Enero;4.773
2017;Febrero;4.786
2017;Marzo;4.673
2017;Abril;4.531
2017;Mayo;4.372
2017;Junio;4.448
2017;Julio;4.510
2017;Agosto;4.755
2017;Septiembre;4.630
2017;Octubre;4.488
2017;Noviembre;4.271
2017;Diciembre;4.175
2018;Enero;4.286
2018;Febrero;4.330
2018;Marzo;4.247
2018;Abril;4.170
2018;Mayo;4.099
2018;Junio;4.157
2018;Julio;4.244
2018;Agosto;4.344
2018;Septiembre;4.371
2018;Octubre;4.189
2018;Noviembre;3.978
2018;Diciembre;3.924
2019;Enero;4.005
2019;Febrero;4.158
2019;Marzo;4.066
2019;Abril;3.924
2019;Mayo;3.784
2019;Junio;3.805
2019;Julio;3.883
2019;Agosto;3.962
2019;Septiembre;3.942
2019;Octubre;3.904
2019;Noviembre;3.836
2019;Diciembre;3.855
2020;Enero;4.062
2020;Febrero;4.093
2020;Marzo;4.876
2020;Abril;4.905
2020;Mayo;4.720
2020;Junio;4.749
2020;Julio;4.750
2020;Agosto;4.828
2020;Septiembre;4.566
2020;Octubre;4.410
2020;Noviembre;4.342
2020;Diciembre;4.411
2021;Enero;4.517
2021;Febrero;4.612
2021;Marzo;4.590
2021;Abril;4.580
;;
;;
"Métrica:""Número de personas en paro""";;
"Fuente:""Ministerio de Empleo y Seguridad Social""";;
"Clasificación:""""";;
"Unidad:""Personas""";;
"Escala:""Unidades""";;
"EscalaFactorPotencia10:""0""";;
"SonDatosNumericos:""True""";;
;;
;;
"Url:""https://www.epdata.es/evolucion-paro-municipio/050a4d6f-8989-41d9-8505-3c810ba0e263/ecija/2898""";;
"Titulo:""Evolución del paro en el municipio de Écija""";;
"Subtitulo:""Paro registrado en las oficinas de los servicios públicos de empleo""";;
